association_id,oracle_file_id,oracle_path,vendor,report_type,schedule_file_id,schedule_path,schedule_title,schedule_status_date,score,confidence,source_resolution,evidence,validation
A0001,F0001,ref1/.mpp test files/2-3-4-5/2345 - DCMA Report.xlsx,Acumen Fuse,Acumen DCMA/Summary Report,F0008,ref1/.mpp test files/2-3-4-5/Project3.mpp,Commercial Construction,2026-06-30T17:00,795,confirmed,exact_label_path_best,Acumen embedded project/version label: project3 | embedded version date matches schedule status date,"{""folder_prefix_depth"": 3, ""matched_labels"": [""project3""]}"
A0002,F0001,ref1/.mpp test files/2-3-4-5/2345 - DCMA Report.xlsx,Acumen Fuse,Acumen DCMA/Summary Report,F0009,ref1/.mpp test files/2-3-4-5/Project4.mpp,Commercial Construction,2026-07-29T17:00,795,confirmed,exact_label_path_best,Acumen embedded project/version label: project4 | embedded version date matches schedule status date,"{""folder_prefix_depth"": 3, ""matched_labels"": [""project4""]}"
A0003,F0001,ref1/.mpp test files/2-3-4-5/2345 - DCMA Report.xlsx,Acumen Fuse,Acumen DCMA/Summary Report,F0010,ref1/.mpp test files/2-3-4-5/Project5_TAMPERED.mpp,Commercial Construction,2026-08-27T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: project5 tampered,"{""folder_prefix_depth"": 3, ""matched_labels"": [""project5 tampered""]}"
A0004,F0001,ref1/.mpp test files/2-3-4-5/2345 - DCMA Report.xlsx,Acumen Fuse,Acumen DCMA/Summary Report,F0102,ref1/00_REFERENCE_INTAKEmppProject2.mpp,Commercial Construction,2026-05-24T17:00,625,confirmed,exact_label_path_best,Acumen embedded project/version label: project2,"{""folder_prefix_depth"": 1, ""matched_labels"": [""project2""]}"
A0005,F0002,ref1/.mpp test files/2-3-4-5/2345 - Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0008,ref1/.mpp test files/2-3-4-5/Project3.mpp,Commercial Construction,2026-06-30T17:00,795,confirmed,exact_label_path_best,Acumen embedded project/version label: project3 | embedded version date matches schedule status date,"{""folder_prefix_depth"": 3, ""matched_labels"": [""project3""]}"
A0006,F0002,ref1/.mpp test files/2-3-4-5/2345 - Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0009,ref1/.mpp test files/2-3-4-5/Project4.mpp,Commercial Construction,2026-07-29T17:00,795,confirmed,exact_label_path_best,Acumen embedded project/version label: project4 | embedded version date matches schedule status date,"{""folder_prefix_depth"": 3, ""matched_labels"": [""project4""]}"
A0007,F0002,ref1/.mpp test files/2-3-4-5/2345 - Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0010,ref1/.mpp test files/2-3-4-5/Project5_TAMPERED.mpp,Commercial Construction,2026-08-27T17:00,795,confirmed,exact_label_path_best,Acumen embedded project/version label: project5 tampered | embedded version date matches schedule status date,"{""folder_prefix_depth"": 3, ""matched_labels"": [""project5 tampered""]}"
A0008,F0002,ref1/.mpp test files/2-3-4-5/2345 - Metric History Report.xlsx,Acumen Fuse,Acumen Metric History Report,F0102,ref1/00_REFERENCE_INTAKEmppProject2.mpp,Commercial Construction,2026-05-24T17:00,745,confirmed,exact_label_path_best,Acumen embedded project/version label: project2 | embedded version date matches schedule status date,"{""folder_prefix_depth"": 1, ""matched_labels"": [""project2""]}"
A0009,F0003,ref1/.mpp test files/2-3-4-5/2345 - Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0008,ref1/.mpp test files/2-3-4-5/Project3.mpp,Commercial Construction,2026-06-30T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: project3,"{""folder_prefix_depth"": 3, ""matched_labels"": [""project3""]}"
A0010,F0003,ref1/.mpp test files/2-3-4-5/2345 - Quick Add Metrics.xlsx,Acumen Fuse,Acumen Quick Add/Ribbon Export,F0009,ref1/.mpp test files/2-3-4-5/Project4.mpp,Commercial Construction,2026-07-29T17:00,675,confirmed,exact_label_path_best,Acumen embedded project/version label: project4,"{""folder_prefix_depth"": 3, ""matched_labels"": [""project4""]}"
